#時刻,脳血流(左),脳血流(左),脳血流(右),脳血流(右),脈拍(左),脈拍(右),M1,M2,M3,M4,M5,M6
13.1,0.005273,-0.095918,0.046408,-0.068146,87.080876,78.845967,0,0,0,0,0,0
13.2,0.005644,-0.095547,0.046648,-0.067906,86.961828,78.685047,0,0,0,0,0,0
13.3,0.006846,-0.094345,0.050295,-0.064259,86.891207,78.685047,0,0,0,0,0,0
13.4,0.007667,-0.093524,0.053194,-0.06136,86.575115,78.845618,0,0,0,0,0,0
13.5,0.007624,-0.093567,0.053116,-0.061438,85.635961,78.660433,0,0,0,0,0,0
13.6,0.00697,-0.094221,0.05139,-0.063164,84.827691,78.475248,0,0,0,0,0,0
13.7,0.006124,-0.095067,0.049335,-0.065219,84.150807,78.290062,0,0,0,0,0,0
13.8,0.005092,-0.096099,0.047044,-0.06751,84.057969,78.104877,0,0,0,0,0,0
13.9,0.005013,-0.096178,0.0452,-0.069354,84.324635,77.599181,0,0,0,0,0,0
14,0.004391,-0.0968,0.044225,-0.070329,84.21035,76.999973,0,0,0,0,0,0
14.1,0.006125,-0.095066,0.047157,-0.067397,83.664895,76.816065,0,0,0,0,0,0
14.2,0.006133,-0.095058,0.04801,-0.066544,83.041518,76.552907,0,0,0,0,0,0
14.3,0.005828,-0.095363,0.047258,-0.067296,82.250075,76.461998,0,0,0,0,0,0
14.4,0.005697,-0.095494,0.046055,-0.068499,81.187137,76.283369,0,0,0,0,0,0
14.5,0.005102,-0.096089,0.044323,-0.070231,81.810514,76.104741,0,0,0,0,0,0
14.6,0.004732,-0.096459,0.042798,-0.071756,81.784285,76.013832,0,0,0,0,0,0
14.7,0.00435,-0.096841,0.041297,-0.073257,81.403332,75.759451,0,0,0,0,0,0
14.8,0.006768,-0.094423,0.040431,-0.074123,81.214391,75.253755,0,0,0,0,0,0
14.9,0.009763,-0.091428,0.040666,-0.073888,80.960307,74.742307,0,0,0,0,0,0
15,0.01277,-0.088421,0.040691,-0.073863,80.960307,74.742307,0,0,0,0,0,0
15.1,0.015988,-0.085203,0.040824,-0.07373,81.850996,74.660339,0,0,0,0,0,0
15.2,0.018727,-0.082464,0.040579,-0.073975,82.623257,74.660339,0,0,0,0,0,0
15.3,0.021321,-0.07987,0.03948,-0.075074,81.382328,74.57262,0,0,0,0,0,0
15.4,0.02389,-0.077301,0.038711,-0.075843,80.425186,74.57262,0,0,0,0,0,0
15.5,0.026707,-0.074484,0.03797,-0.076584,79.825186,74.57262,0,0,0,0,0,0
15.6,0.029495,-0.071696,0.037217,-0.077337,79.727783,74.066873,0,0,0,0,0,0
15.7,0.031417,-0.069774,0.035073,-0.079481,80.35116,73.894459,0,0,0,0,0,0
15.8,0.032976,-0.068215,0.033184,-0.08137,80.593584,73.80674,0,0,0,0,0,0
15.9,0.031559,-0.069632,0.031147,-0.083407,80.408335,73.812492,0,0,0,0,0,0
16,0.029349,-0.071842,0.029277,-0.085277,80.148595,73.984957,0,0,0,0,0,0
16.1,0.028521,-0.07267,0.028308,-0.086246,80.188859,73.90299,0,0,0,0,0,0
16.2,0.027506,-0.073685,0.027366,-0.087188,80.118684,73.90299,0,0,0,0,0,0
16.3,0.026886,-0.074305,0.02671,-0.087844,79.808071,73.897238,0,0,0,0,0,0
16.4,0.026644,-0.074547,0.025975,-0.088579,80.100469,73.812543,0,0,0,0,0,0
16.5,0.027021,-0.07417,0.025567,-0.088987,79.834235,73.640129,0,0,0,0,0,0
16.6,0.02696,-0.074231,0.024357,-0.090197,79.097056,73.549683,0,0,0,0,0,0
16.7,0.026657,-0.074534,0.022882,-0.091672,78.339609,73.461964,0,0,0,0,0,0
16.8,0.026114,-0.075077,0.021435,-0.093119,79.195922,73.461964,0,0,0,0,0,0
16.9,0.025733,-0.075458,0.020079,-0.094475,79.553065,73.461964,0,0,0,0,0,0
17,0.025706,-0.075485,0.018943,-0.095611,79.73825,73.543931,0,0,0,0,0,0
17.1,0.025086,-0.076105,0.017699,-0.096855,80.282747,73.628625,0,0,0,0,0,0
17.2,0.025045,-0.076146,0.017083,-0.097471,79.768461,73.628625,0,0,0,0,0,0
17.3,0.026221,-0.07497,0.019077,-0.095477,79.990683,73.543931,0,0,0,0,0,0
17.4,0.026706,-0.074485,0.019932,-0.094622,79.912609,73.538179,0,0,0,0,0,0
17.5,0.027219,-0.073972,0.019424,-0.09513,79.28565,73.365714,0,0,0,0,0,0
17.6,0.029569,-0.071622,0.019849,-0.094705,78.589648,73.447681,0,0,0,0,0,0
17.7,0.032013,-0.069178,0.02049,-0.094064,78.244523,73.447681,0,0,0,0,0,0
17.8,0.033363,-0.067828,0.020373,-0.094181,78.43591,73.626309,0,0,0,0,0,0
17.9,0.034722,-0.066469,0.020027,-0.094527,77.880355,73.798723,0,0,0,0,0,0
18,0.036924,-0.064267,0.020145,-0.094409,77.789446,73.883417,0,0,0,0,0,0
18.1,0.040453,-0.060738,0.023953,-0.090601,77.463688,73.883417,0,0,0,0,0,0
18.2,0.043189,-0.058002,0.027996,-0.086558,77.436102,73.883417,0,0,0,0,0,0
18.3,0.045252,-0.055939,0.02962,-0.084934,77.236672,73.883417,0,0,0,0,0,0
18.4,0.046515,-0.054676,0.029696,-0.084858,78.3081,74.137799,0,0,0,0,0,0
18.5,0.048293,-0.052898,0.02958,-0.084974,78.480058,74.055831,0,0,0,0,0,0
18.6,0.049536,-0.051655,0.029054,-0.0855,77.750832,74.061583,0,0,0,0,0,0
18.7,0.051121,-0.05007,0.029046,-0.085508,77.550832,74.233997,0,0,0,0,0,0
18.8,0.052002,-0.049189,0.028874,-0.08568,76.907557,74.318692,0,0,0,0,0,0
18.9,0.054568,-0.046623,0.032415,-0.082139,76.992252,74.233997,0,0,0,0,0,0
19,0.058044,-0.043147,0.037842,-0.076712,77.588395,74.233997,0,0,0,0,0,0
19.1,0.05957,-0.041621,0.039966,-0.074588,78.003695,74.146278,0,0,0,0,0,0
19.2,0.060369,-0.040822,0.040354,-0.0742,78.418996,74.312991,0,0,0,0,0,0
19.3,0.060222,-0.040969,0.039658,-0.074896,78.210352,74.467983,0,0,0,0,0,0
19.4,0.059848,-0.041343,0.038682,-0.075872,78.128385,74.386016,0,0,0,0,0,0
19.5,0.059225,-0.041966,0.037736,-0.076818,78.128385,74.473735,0,0,0,0,0,0
19.6,0.058981,-0.04221,0.037087,-0.077467,78.037476,74.646149,0,0,0,0,0,0
19.7,0.059821,-0.04137,0.038955,-0.075599,78.050247,74.646149,0,0,0,0,0,0
19.8,0.059327,-0.041864,0.043959,-0.070595,77.865062,74.646149,0,0,0,0,0,0
19.9,0.057606,-0.043585,0.047315,-0.067239,76.793633,74.473735,0,0,0,0,0,0
20,0.054523,-0.046668,0.047596,-0.066958,77.050525,74.640448,0,0,0,0,0,0
20.1,0.050287,-0.050904,0.045628,-0.068926,77.878112,75.055749,0,0,0,0,0,0
20.2,0.046401,-0.05479,0.043752,-0.070802,78.395353,74.973782,0,0,0,0,0,0
20.3,0.042818,-0.058373,0.042418,-0.072136,78.816406,75.061501,0,0,0,0,0,0
20.4,0.038825,-0.062366,0.041158,-0.073396,79.167283,75.233915,0,0,0,0,0,0
20.5,0.037077,-0.064114,0.043131,-0.071423,78.834463,75.233915,0,0,0,0,0,0
20.6,0.035719,-0.065472,0.047874,-0.06668,78.592039,75.233915,0,0,0,0,0,0
20.7,0.034566,-0.066625,0.052015,-0.062539,78.349615,75.149169,0,0,0,0,0,0
20.8,0.031829,-0.069362,0.052757,-0.061797,78.103713,74.994177,0,0,0,0,0,0
20.9,0.028662,-0.072529,0.052194,-0.06236,78.759451,75.499873,0,0,0,0,0,0
21,0.025544,-0.075647,0.050796,-0.063758,79.243322,75.76303,0,0,0,0,0,0
21.1,0.022946,-0.078245,0.049388,-0.065166,79.328067,75.85394,0,0,0,0,0,0
21.2,0.020652,-0.080539,0.048564,-0.06599,79.328067,75.941659,0,0,0,0,0,0
21.3,0.02052,-0.080671,0.051769,-0.062785,79.751796,75.941659,0,0,0,0,0,0
21.4,0.021882,-0.079309,0.057453,-0.057101,80.08513,75.85394,0,0,0,0,0,0
21.5,0.021499,-0.079692,0.060372,-0.054182,79.562004,75.769194,0,0,0,0,0,0
21.6,0.020325,-0.080866,0.06082,-0.053734,78.562004,75.699018,0,0,0,0,0,0
21.7,0.018727,-0.082464,0.059969,-0.054585,78.044762,76.204714,0,0,0,0,0,0
21.8,0.017214,-0.083977,0.058822,-0.055732,77.711429,76.377128,0,0,0,0,0,0
21.9,0.015378,-0.085813,0.057523,-0.057031,77.53918,76.468037,0,0,0,0,0,0
22,0.01464,-0.086551,0.057111,-0.057443,77.366304,76.555757,0,0,0,0,0,0
22.1,0.015731,-0.08546,0.060724,-0.05383,77.699123,76.555757,0,0,0,0,0,0
22.2,0.017649,-0.083542,0.066554,-0.048,77.941548,76.555757,0,0,0,0,0,0
22.3,0.017115,-0.084076,0.068989,-0.045565,77.941548,76.464847,0,0,0,0,0,0
22.4,0.016276,-0.084915,0.068898,-0.045656,77.280058,76.125864,0,0,0,0,0,0
22.5,0.014346,-0.086845,0.067541,-0.047013,76.708468,76.19604,0,0,0,0,0,0
22.6,0.010591,-0.0906,0.064797,-0.049757,76.623722,76.189877,0,0,0,0,0,0
22.7,0.006963,-0.094228,0.061769,-0.052785,76.356569,76.107909,0,0,0,0,0,0
22.8,0.004134,-0.097057,0.059686,-0.054868,75.932841,76.195629,0,0,0,0,0,0
22.9,0.00375,-0.097441,0.061664,-0.05289,75.599507,76.283348,0,0,0,0,0,0
23,0.003308,-0.097883,0.065894,-0.04866,75.426631,76.283348,0,0,0,0,0,0
23.1,0.002614,-0.098577,0.0679,-0.046654,75.426631,76.02019,0,0,0,0,0,0
